,dist_center_segment,radius_segment,center_mass,jx_y,jz_y,jz_x
0,0.0,0.0,0.0,1.0,5.731753916698511,5.731753916698511
1,0.0,0.001,0.0,1.0,5.7317975874287805,5.7317975874287805
2,0.0,0.002,0.0,1.0,5.731928605752468,5.731928605752468
3,0.0,0.003,0.0,1.0,5.732146990070364,5.732146990070364
4,0.0,0.004,0.0,1.0,5.732452771057631,5.732452771057631
5,0.0,0.005,0.0,1.0,5.732845991674581,5.732845991674581
6,0.0,0.006,0.0,1.0,5.733326707181762,5.733326707181762
7,0.0,0.007,0.0,1.0,5.733894985159384,5.733894985159384
8,0.0,0.008,0.0,1.0,5.734550905531083,5.734550905531083
9,0.0,0.009,0.0,1.0,5.735294560592042,5.735294560592042
10,0.0,0.01,0.0,1.0,5.736126055041486,5.736126055041486
11,0.0,0.011,0.0,1.0,5.737045506019582,5.737045506019582
12,0.0,0.012,0.0,1.0,5.738053043148754,5.738053043148754
13,0.0,0.013,0.0,1.0,5.739148808579445,5.739148808579445
14,0.0,0.014,0.0,1.0,5.740332957040366,5.740332957040366
15,0.0,0.015,0.0,1.0,5.741605655893253,5.741605655893253
16,0.0,0.016,0.0,1.0,5.74296708519217,5.74296708519217
17,0.0,0.017,0.0,1.0,5.744417437747408,5.744417437747408
18,0.0,0.018,0.0,1.0,5.745956919194003,5.745956919194003
19,0.0,0.019,0.0,1.0,5.747585748064942,5.747585748064942
20,0.0,0.02,0.0,1.0,5.749304155869087,5.749304155869087
21,0.0,0.021,0.0,1.0,5.751112387173874,5.751112387173874
22,0.0,0.022,0.0,1.0,5.7530106996928545,5.7530106996928545
23,0.0,0.023,0.0,1.0,5.754999364378117,5.754999364378117
24,0.0,0.024,0.0,1.0,5.757078665517668,5.757078665517668
25,0.0,0.025,0.0,1.0,5.7592489008378305,5.7592489008378305
26,0.0,0.026,0.0,1.0,5.761510381610737,5.761510381610737
27,0.0,0.027,0.0,1.0,5.763863432766975,5.763863432766975
28,0.0,0.028,0.0,1.0,5.766308393013472,5.766308393013472
29,0.0,0.029,0.0,1.0,5.768845614956715,5.768845614956715
30,0.0,0.03,0.0,1.0,5.77147546523135,5.77147546523135
31,0.0,0.031,0.0,1.0,5.774198324634292,5.774198324634292
32,0.0,0.032,0.0,1.0,5.777014588264415,5.777014588264415
33,0.0,0.033,0.0,1.0,5.779924665667919,5.779924665667919
34,0.0,0.034,0.0,1.0,5.782928980989485,5.782928980989485
35,0.0,0.035,0.0,1.0,5.786027973129321,5.786027973129321
36,0.0,0.036,0.0,1.0,5.789222095906198,5.789222095906198
37,0.0,0.037,0.0,1.0,5.792511818226611,5.792511818226611
38,0.0,0.038,0.0,1.0,5.795897624260163,5.795897624260163
39,0.0,0.039,0.0,1.0,5.799380013621319,5.799380013621319
40,0.0,0.04,0.0,1.0,5.802959501557633,5.802959501557633
41,0.0,0.041,0.0,1.0,5.806636619144614,5.806636619144614
42,0.0,0.042,0.0,1.0,5.810411913487341,5.810411913487341
43,0.0,0.043,0.0,1.0,5.814285947929003,5.814285947929003
44,0.0,0.044,0.0,1.0,5.818259302266482,5.818259302266482
45,0.0,0.045,0.0,1.0,5.822332572973172,5.822332572973172
46,0.0,0.046,0.0,1.0,5.826506373429174,5.826506373429174
47,0.0,0.047,0.0,1.0,5.830781334159035,5.830781334159035
48,0.0,0.048,0.0,1.0,5.835158103077238,5.835158103077238
49,0.0,0.049,0.0,1.0,5.839637345741583,5.839637345741583
50,0.0,0.05,0.0,1.0,5.844219745614684,5.844219745614684
51,0.0,0.051,0.0,1.0,5.848906004333765,5.848906004333765
52,0.0,0.052,0.0,1.0,5.85369684198896,5.85369684198896
53,0.0,0.053,0.0,1.0,5.858592997410336,5.858592997410336
54,0.0,0.054,0.0,1.0,5.86359522846385,5.86359522846385
55,0.0,0.055,0.0,1.0,5.868704312356477,5.868704312356477
56,0.0,0.056,0.0,1.0,5.873921045950749,5.873921045950749
57,0.0,0.057,0.0,1.0,5.87924624608894,5.87924624608894
58,0.0,0.058,0.0,1.0,5.884680749927159,5.884680749927159
59,0.0,0.059,0.0,1.0,5.890225415279622,5.890225415279622
60,0.0,0.06,0.0,1.0,5.895881120973374,5.895881120973374
61,0.0,0.061,0.0,1.0,5.901648767213726,5.901648767213726
62,0.0,0.062,0.0,1.0,5.907529275960754,5.907529275960754
63,0.0,0.063,0.0,1.0,5.913523591317095,5.913523591317095
64,0.0,0.064,0.0,1.0,5.919632679927436,5.919632679927436
65,0.0,0.065,0.0,1.0,5.925857531389953,5.925857531389953
66,0.0,0.066,0.0,1.0,5.932199158680102,5.932199158680102
67,0.0,0.067,0.0,1.0,5.938658598587079,5.938658598587079
68,0.0,0.068,0.0,1.0,5.945236912163337,5.945236912163337
69,0.0,0.069,0.0,1.0,5.951935185187527,5.951935185187527
70,0.0,0.07,0.0,1.0,5.958754528641282,5.958754528641282
71,0.0,0.071,0.0,1.0,5.965696079200223,5.965696079200223
72,0.0,0.072,0.0,1.0,5.972760999739653,5.972760999739653
73,0.0,0.073,0.0,1.0,5.979950479855348,5.979950479855348
74,0.0,0.074,0.0,1.0,5.9872657363999275,5.9872657363999275
75,0.0,0.075,0.0,1.0,5.994708014035267,5.994708014035267
76,0.0,0.076,0.0,1.0,6.002278585801461,6.002278585801461
77,0.0,0.077,0.0,1.0,6.009978753702834,6.009978753702834
78,0.0,0.078,0.0,1.0,6.017809849311561,6.017809849311561
79,0.0,0.079,0.0,1.0,6.025773234389425,6.025773234389425
80,0.0,0.08,0.0,1.0,6.033870301528295,6.033870301528295
81,0.0,0.081,0.0,1.0,6.042102474809939,6.042102474809939
82,0.0,0.082,0.0,1.0,6.050471210485769,6.050471210485769
83,0.0,0.083,0.0,1.0,6.058977997677187,6.058977997677187
84,0.0,0.084,0.0,1.0,6.067624359097176,6.067624359097176
85,0.0,0.085,0.0,1.0,6.076411851793879,6.076411851793879
86,0.0,0.086,0.0,1.0,6.085342067916827,6.085342067916827
87,0.0,0.087,0.0,1.0,6.094416635506624,6.094416635506624
88,0.0,0.088,0.0,1.0,6.103637219308863,6.103637219308863
89,0.0,0.089,0.0,1.0,6.113005521613047,6.113005521613047
90,0.0,0.09,0.0,1.0,6.122523283117432,6.122523283117432
91,0.0,0.091,0.0,1.0,6.132192283820597,6.132192283820597
92,0.0,0.092,0.0,1.0,6.142014343940725,6.142014343940725
93,0.0,0.093,0.0,1.0,6.151991324863508,6.151991324863508
94,0.0,0.094,0.0,1.0,6.1621251301196835,6.1621251301196835
95,0.0,0.095,0.0,1.0,6.172417706393235,6.172417706393235
96,0.0,0.096,0.0,1.0,6.182871044561327,6.182871044561327
97,0.0,0.097,0.0,1.0,6.193487180767113,6.193487180767113
98,0.0,0.098,0.0,1.0,6.20426819752656,6.20426819752656
